Time,Height,HeightError,MaxWidth,MaxWidthError,VelocityInst,VelocityInstError,VelocityAvg,VelocityAvgError,AccelerationInst,AccelerationInstError,AccelerationAvg,AccelerationAvgError,rowPixel,colPixel
132,1737.65065910237,156.026938172998,1233.14921610275,131.162137600365,10.3115077812326,311.745539779097,13.1640201447149,1.18202225888635,-10.2772323394124,0.923958931773313,0.0997274253387496,0.00895471408247233,378,524
133,1758.30818686497,156.64466929946,1249.04208152607,132.791475156845,20.657527762593,312.671607472457,13.2203623072554,1.17777946841699,10.3460199813603,0.926067693360437,0.0994012203553036,0.00885548472493977,374,527
134,1768.65430205586,156.954066764228,1262.85897215389,132.908859156125,10.3461151908982,313.598736063688,13.1989127019094,1.1712990057032,-10.3114125716947,0.927128591230257,0.0984993485217122,0.00874103735599399,372,530
135,1779.01204854299,157.263820775624,1276.67327432759,133.026034389585,10.3577464871241,314.217887539852,13.1778670262444,1.16491719093055,0.0116312962259144,0.619151476164461,0.0976138298240323,0.00862901622911517,370,533
136,1789.38147435776,157.573932799493,1294.42958926662,133.549595979,10.3694258147684,314.837753575117,13.1572167232188,1.1586318588198,0.0116793276442877,0.619866035265204,0.0967442406119029,0.0085193519030868,368,534
137,1810.15555695891,158.195236774824,1294.42958926662,133.549595979,20.7740826011536,315.769169574317,13.2128142843716,1.15470975748047,10.4046567863852,0.931415999199771,0.0964438998859242,0.00842853837576982,364,538
138,1820.56031067409,158.506431684855,1301.32682767385,134.91275462299,10.4047537151791,316.701668459679,13.1924660193775,1.14859733104968,-10.3693288859745,0.932498885361838,0.0955975798505613,0.00832316906557736,362,541
139,1830.97693757648,158.817990524564,1309.19859862357,135.72396548602,10.4166269023867,317.324422209419,13.1724959537876,1.14257547139974,0.0118731872075841,0.622753749740468,0.094766157940918,0.00821996742014204,360,541
140,1841.40548656938,159.129914786858,1318.53938215239,135.709955708923,10.4285489929002,317.947905311423,13.1528963326384,1.13664224847756,0.011922090513508,0.623483102003092,0.0939492595188457,0.00811887320341114,358,548
141,1851.84600673346,159.442205970155,1327.38375919032,135.970785016495,10.4405201640843,318.572120757013,13.1336596222231,1.13079578702237,0.0119711711840864,0.62421544559038,0.0931465221434264,0.00801982827675442,356,547
142,1872.76315779074,160.067895121128,1335.227131458,136.780927782371,20.9171510572805,319.510101091283,13.1884729421883,1.12723869803612,10.4766308931962,0.937980334270151,0.0928765700154107,0.00793830069039518,352,555
143,1883.23988774121,160.38129611345,1338.64905337281,137.460141122868,10.4767299504697,320.449191234578,13.169509704484,1.12154752526888,-10.4404211068108,0.939090143295061,0.09209447345793,0.00784298968719496,350,552
